team_id,bye_week,city,conference,division,draft_kings_name,draft_kings_player_id,fan_duel_name,fan_duel_player_id,fantasy_draft_name,fantasy_draft_player_id,full_name,global_team_id,key,name,offensive_scheme,primary_color,quaternary_color,secondary_color,stadium_id,tertiary_color,wikipedia_logo_url,wikipedia_word_mark_url,yahoo_name,yahoo_player_id
22,6,New Orleans,NFC,South,Saints ,350,New Orleans Saints,12542,New Orleans Saints,1256160,New Orleans Saints,22,NO,Saints,3WR,D3BC8D,,0,27,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/192px-New_Orleans_Saints_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,New Orleans Saints,
23,9,New York,NFC,East,Giants ,351,New York Giants,12543,New York Giants,1256161,New York Giants,23,NYG,Giants,3WR,0B2265,,A71930,3,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,New York Giants,
24,11,New York,AFC,East,Jets ,352,New York Jets,12544,New York Jets,1256162,New York Jets,24,NYJ,Jets,3WR,203731,,FFFFFF,3,,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/80/New_York_Jets_wordmark.gif,New York Jets,
25,7,Oakland,AFC,West,Raiders ,341,Oakland Raiders,12537,Oakland Raiders,1256157,Oakland Raiders,25,OAK,Raiders,3WR,A5ACAF,,0,16,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/3e/Raiders_wordmark.gif,Oakland Raiders,
26,9,Philadelphia,NFC,East,Eagles ,354,Philadelphia Eagles,12545,Philadelphia Eagles,1256163,Philadelphia Eagles,26,PHI,Eagles,3WR,004C54,FFFFFF,A5ACAF,18,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/191px-Philadelphia_Eagles_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/8/87/Eagles_wordmark.gif,Philadelphia Eagles,
28,7,Pittsburgh,AFC,North,Steelers ,356,Pittsburgh Steelers,12547,Pittsburgh Steelers,1256165,Pittsburgh Steelers,28,PIT,Steelers,3WR,0,,FFB612,8,FFFFFF,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,Pittsburgh Steelers,
30,7,Seattle,NFC,West,Seahawks ,361,Seattle Seahawks,12550,Seattle Seahawks,1256168,Seattle Seahawks,30,SEA,Seahawks,3WR,2244,,69BE28,31,A5ACAF,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/d/d0/Seattle_seahawks_wordmark_2012.png,Seattle Seahawks,
31,11,San Francisco,NFC,West,49ers ,359,San Francisco 49ers,12549,San Francisco 49ers,1256167,San Francisco 49ers,31,SF,49ers,3WR,AA0000,FFFFFF,B3995D,37,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/460px-San_Francisco_49ers_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/e/e2/San_Francisco_49ers_wordmark-2009.png,San Francisco 49ers,
33,5,Tampa Bay,NFC,South,Buccaneers ,362,Tampa Bay Buccaneers,12551,Tampa Bay Buccaneers,1256169,Tampa Bay Buccaneers,33,TB,Buccaneers,2TE,D50A0A,,34302B,24,FF7900,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Buccaneers_wordmark_2014.png,Tampa Bay Buccaneers,
34,8,Tennessee,AFC,South,Titans ,336,Tennessee Titans,12534,Tennessee Titans,1256155,Tennessee Titans,34,TEN,Titans,3WR,2244,A5ACAF,4B92DB,12,C60C30,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Tennessee_Titans_Alternate_Logo.jpg,Tennessee Titans,
35,4,Washington,NFC,East,Redskins ,363,Washington Redskins,12552,Washington Redskins,1243552,Washington Redskins,35,WAS,Redskins,3WR,5A1414,,FFB612,19,FFFFFF,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/1050px-Washington_Redskins_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/3/30/Redskins_scriptlogo.png,Washington Redskins,
